"Name","LastWriteTime","CreationTime"
"testScripts.ps1","7/3/2025 12:29:03 PM","7/3/2025 6:05:09 AM"
"files.csv","7/21/2025 6:59:45 AM","7/21/2025 6:59:45 AM"
